Title;Name;Reps;Duration;Description
;GS Green;;;Green
;Scorpions;;60;Lying prone (face down), arms out in T position. Swing heel to opposite hand.
;Iron Cross ;;60;Lying supine (face up), arms out in T position. Swing foot to opposite hand.
;Groiners;;30;Seated, feet on ground pointing diagonally out, drop knees down to right, then bring them up and drop knees to left. Rest hands on ground behind hips.
;Lower Body Crawl;;30;"Lying prone (face down), arms in ""touchdown"" position. Bring right knee to right elbow then straighten, bring left knee to left elbow. Exercise is like a stationary army crawl."
;Pushups;;60;It's about quality, not quantity. Go all the way down.
;Windshield Wipers;;60;Lying on back. Arms out in T position. Keeping legs straight and together, raise them to be perpendicular to ground, lower legs side to side, with legs hovering just above ground, not touching ground.
;Single Leg Bridge [R];;30;30 seconds each leg. Supine (face up) with knees bent, feet planted on ground. Straighten one leg. Press planted foot into ground to raise hips off ground forming bridge position then lower. Repeat for duration - focus on form, not speed. Then switch sides.
;Single Leg Bridge [L];;30;30 seconds each leg. Supine (face up) with knees bent, feet planted on ground. Straighten one leg. Press planted foot into ground to raise hips off ground forming bridge position then lower. Repeat for duration - focus on form, not speed. Then switch sides.
;Supermans;;30;Lying prone - arms straight overhead and legs straight back. Form a bow position by raising arms and legs as high as possible off ground. Hold for 2sec at top then release, lowering legs and arms, then re-engage without resting on ground. Movement is slow and controlled. 
;Hurdle to Plow;;60;Sitting, legs in figure 4 position. Rock backward and roll onto upper back, switching figure 4 position of legs at apex, rock forward and reach opposite hand to straightened leg. Repeat - rocking backward, switching position of legs at apex, reaching forward with opposite hand to straightened leg. 
;Rollups;;60;On back, arms resting beside hips. Curl knees toward chin, rolling small of back off ground. Extend legs straight out to hovering just above ground. Repeat - curling knees in tucked position toward chin. 
;Repeat;;;
;Scorpions;;60;Lying prone (face down), arms out in T position. Swing heel to opposite hand.
;Iron Cross ;;60;Lying supine (face up), arms out in T position. Swing foot to opposite hand.
;Groiners;;30;Seated, feet on ground pointing diagonally out, drop knees down to right, then bring them up and drop knees to left. Rest hands on ground behind hips.
;Lower Body Crawl;;30;"Lying prone (face down), arms in ""touchdown"" position. Bring right knee to right elbow then straighten, bring left knee to left elbow. Exercise is like a stationary army crawl."
;Pushups;;60;It's about quality, not quantity. Go all the way down.
;Windshield Wipers;;60;Lying on back. Arms out in T position. Keeping legs straight and together, raise them to be perpendicular to ground, lower legs side to side, with legs hovering just above ground, not touching ground.
;Single Leg Bridge [R];;30;30 seconds each leg. Supine (face up) with knees bent, feet planted on ground. Straighten one leg. Press planted foot into ground to raise hips off ground forming bridge position then lower. Repeat for duration - focus on form, not speed. Then switch sides.
;Single Leg Bridge [L];;30;30 seconds each leg. Supine (face up) with knees bent, feet planted on ground. Straighten one leg. Press planted foot into ground to raise hips off ground forming bridge position then lower. Repeat for duration - focus on form, not speed. Then switch sides.
;Supermans;;30;Lying prone - arms straight overhead and legs straight back. Form a bow position by raising arms and legs as high as possible off ground. Hold for 2sec at top then release, lowering legs and arms, then re-engage without resting on ground. Movement is slow and controlled. 
;Hurdle to Plow;;60;Sitting, legs in figure 4 position. Rock backward and roll onto upper back, switching figure 4 position of legs at apex, rock forward and reach opposite hand to straightened leg. Repeat - rocking backward, switching position of legs at apex, reaching forward with opposite hand to straightened leg. 
;Rollups;;60;On back, arms resting beside hips. Curl knees toward chin, rolling small of back off ground. Extend legs straight out to hovering just above ground. Repeat - curling knees in tucked position toward chin. 
;Complete;;;
;;;;
;GS X;;;Indigo
;Pushup to Side Plank;;30;Perform pushup - during pressing-up movement, rotate entire body to side plank position (one arm support). Rotate back to pushup position, perform pushup and rotate to other side. Repeat for duration.
;Running V-Sits;;30;"Sitting in ""V"" position, legs straight and off ground. Move arms fast forward and backward in running motion, keeping torso up and stable."
;Australian Swimming Crawl ;;30;Prone (face down), bow up into Superman position and hold. Keeping legs straight, flutter them up and down while doing freestyle swim motion with your arms.
;V-Sit Flutter Kick ;;30;"Sitting in ""V"" position, keeping legs straight, torso/arms stationary, flutter legs up and down. "
;Side Plank Leg Lift [R] ;;30;First set on elbows, second set on hands. In side plank position, lift top leg (left) slowly up and down 
;Supine Plank Leg Lift;;30;First set on elbows, second set on hands. Face up forming plank position. Keep hips pressing upward. Lift one leg off ground, then other, keeping legs straight. 
;Side Plank Leg Lift [L];;30;First set on elbows, second set on hands. In side plank position, lift top leg (right) slowly up and down 
;Prone Plank Leg Lift ;;30;First set on elbows, second set on hands. Face down forming plank position. Alternate lifting legs off ground, keeping back flat and legs straight.
;Superman ;;30;Lying prone - arms straight overhead and legs straight back. Form a bow position by raising arms and legs as high as possible off ground. Hold for 2sec at top then release, lowering legs and arms, then re-engage without resting on ground. Movement is slow and controlled. 
;Pushup to Side Plank;;30;Perform pushup - during pressing-up movement, rotate entire body to side plank position (one arm support). Rotate back to pushup position, perform pushup and rotate to other side. Repeat for duration.
;V-Sit Scissor Kicks;;30;"Sitting in ""V"" position, keeping legs straight, torso/arms stationary, scissor legs criss-cross style (left crosses over right, switch so right crosses over left)"
;Spiderman Pushups ;;30;Pushup position. On downward motion, bring left knee to outside of left elbow. On upward motion bring leg back to start position. Repeat on right side. Keep back flat. Can also be performed on knees. 
;Repeat;;;
;Pushup to Side Plank;;30;Perform pushup - during pressing-up movement, rotate entire body to side plank position (one arm support). Rotate back to pushup position, perform pushup and rotate to other side. Repeat for duration.
;Running V-Sits;;30;"Sitting in ""V"" position, legs straight and off ground. Move arms fast forward and backward in running motion, keeping torso up and stable."
;Australian Swimming Crawl ;;30;Prone (face down), bow up into Superman position and hold. Keeping legs straight, flutter them up and down while doing freestyle swim motion with your arms.
;V-Sit Flutter Kick ;;30;"Sitting in ""V"" position, keeping legs straight, torso/arms stationary, flutter legs up and down. "
;Side Plank Leg Lift [R] ;;30;First set on elbows, second set on hands. In side plank position, lift top leg (left) slowly up and down 
;Supine Plank Leg Lift;;30;First set on elbows, second set on hands. Face up forming plank position. Keep hips pressing upward. Lift one leg off ground, then other, keeping legs straight. 
;Side Plank Leg Lift [L];;30;First set on elbows, second set on hands. In side plank position, lift top leg (right) slowly up and down 
;Prone Plank Leg Lift ;;30;First set on elbows, second set on hands. Face down forming plank position. Alternate lifting legs off ground, keeping back flat and legs straight.
;Superman ;;30;Lying prone - arms straight overhead and legs straight back. Form a bow position by raising arms and legs as high as possible off ground. Hold for 2sec at top then release, lowering legs and arms, then re-engage without resting on ground. Movement is slow and controlled. 
;Pushup to Side Plank;;30;Perform pushup - during pressing-up movement, rotate entire body to side plank position (one arm support). Rotate back to pushup position, perform pushup and rotate to other side. Repeat for duration.
;V-Sit Scissor Kicks;;30;"Sitting in ""V"" position, keeping legs straight, torso/arms stationary, scissor legs criss-cross style (left crosses over right, switch so right crosses over left)"
;Spiderman Pushups ;;30;Pushup position. On downward motion, bring left knee to outside of left elbow. On upward motion bring leg back to start position. Repeat on right side. Keep back flat. Can also be performed on knees. 
;Complete;;;
;;;;
;Plyometric;;;Pink
;Rocket Jumps;;20;Squat and reach down to ground and explode up, reaching up with arms and hands, land softly and repeat. This is a continuous exercise. 
;Forward-Backward Hops;;20;With legs together and with only a slight flex, hop forward and backward. Keep tall posture, stable torso.
;Side-Side Hops;;20;With legs together and with only a slight flex, hop side to side. Keep tall posture, stable torso. 
;Lunge Jumps;;20;In lunge position (one leg forward, other back), jump up and switch position of legs in mid-air. Land softly in lunge position and repeat. This is a continuous exercise.
;Single Leg Forward-Backward Hops [R];;20;On one leg, with only slight flex at the knee, hop forward and backward. Keep tall posture, stable torso.
;Single Leg Forward-Backward Hops [L];;20;On one leg, with only slight flex at the knee, hop forward and backward. Keep tall posture, stable torso.
;Single Leg Side-Side Hops [R];;20;On one leg with only slight flex at the knee, hop side to side. Keep tall posture, stable torso. 
;Single Leg Side-Side Hops [L];;20;On one leg with only slight flex at the knee, hop side to side. Keep tall posture, stable torso. 
;Pogo Jumps;;20;Legs together with slight flex at the knee, hop up and down in place
;Burpees;;30;From standing position, jump up, then place hands on ground and jump legs backward so you are in pushup position. Jump feet toward hands and jump off ground, extending arms over head. Land softly and repeat. 
;Ski Jumps;;20;In pushup position, jump both feet to the outside of right hand, jump feet back to pushup position, jump both feet to outside of left hand, and back to pushup position.
;Mountain Climbers;;30;In pushup position, alternate jumping one foot forward and one foot backward. It's not running in pushup position - your back foot and front foot are touching down at same time and switch position in mid-air.
;In Place High Knees;;20;High knees in place, making sure arms keep pace with legs
;Basketball Quick Steps;;20;In half squat position, in place, take quick little steps - like a basketball or football defensive drill
;Side Shuffle [R];;15;15 sec each direction - in half squat position, with small quick step shuffle laterally
;Side Shuffle [L];;15;15 sec each direction - in half squat position, with small quick step shuffle laterally
;Repeat;;;
;Rocket Jumps;;20;Squat and reach down to ground and explode up, reaching up with arms and hands, land softly and repeat. This is a continuous exercise. 
;Forward-Backward Hops;;20;With legs together and with only a slight flex, hop forward and backward. Keep tall posture, stable torso.
;Side-Side Hops;;20;With legs together and with only a slight flex, hop side to side. Keep tall posture, stable torso. 
;Lunge Jumps;;20;In lunge position (one leg forward, other back), jump up and switch position of legs in mid-air. Land softly in lunge position and repeat. This is a continuous exercise.
;Single Leg Forward-Backward Hops [R];;20;On one leg, with only slight flex at the knee, hop forward and backward. Keep tall posture, stable torso.
;Single Leg Forward-Backward Hops [L];;20;On one leg, with only slight flex at the knee, hop forward and backward. Keep tall posture, stable torso.
;Single Leg Side-Side Hops [R];;20;On one leg with only slight flex at the knee, hop side to side. Keep tall posture, stable torso. 
;Single Leg Side-Side Hops [L];;20;On one leg with only slight flex at the knee, hop side to side. Keep tall posture, stable torso. 
;Pogo Jumps;;20;Legs together with slight flex at the knee, hop up and down in place
;Burpees;;30;From standing position, jump up, then place hands on ground and jump legs backward so you are in pushup position. Jump feet toward hands and jump off ground, extending arms over head. Land softly and repeat. 
;Ski Jumps;;20;In pushup position, jump both feet to the outside of right hand, jump feet back to pushup position, jump both feet to outside of left hand, and back to pushup position.
;Mountain Climbers;;30;In pushup position, alternate jumping one foot forward and one foot backward. It's not running in pushup position - your back foot and front foot are touching down at same time and switch position in mid-air.
;In Place High Knees;;20;High knees in place, making sure arms keep pace with legs
;Basketball Quick Steps;;20;In half squat position, in place, take quick little steps - like a basketball or football defensive drill
;Side Shuffle [R];;15;15 sec each direction - in half squat position, with small quick step shuffle laterally
;Side Shuffle [L];;15;15 sec each direction - in half squat position, with small quick step shuffle laterally
;Complete;;;
;;;;
;Medicine Ball;;;Orange
;Long Snaps;;90;Standing, arms straight holding med ball, swing med ball over head, then down, sweeping ground, then swing ball back up to over head. Nice, smooth pace up and down, don't wrench back 
;Med Ball Sit Ups;;120;Arms straight with med ball above head, perform sit up
;Standing - Around the World;;45;45 seconds each direction, arms straight holding med ball, make large circles - overhead, down to ground, circle back up 
;Standing - Around the World;;45;45 seconds each direction, arms straight holding med ball, make large circles - overhead, down to ground, circle back up 
;Russian Twist;;120;Seated in V-position, legs off ground, bent at knees. Holding med ball. Rotate torso fully side to side
;Med Ball Pushups;;60;Perform push-up with both hands on ball. Don't drop pelvis, maintain flat back. Easier exercise - perform pushup with one hand on ball, other hand on ground, upon pushing up roll ball on floor so that other hand can be placed on ball 
;Straight Arm Toe-Touches;;90;On back, legs straight, perpendicular to ground. Arms straight holding med ball. Reach med ball to toes - shoulders and upper back should rise off the ground
;Reverse Med Ball Throw (Standing);;90;Against wall or to partner - squat down, explode up launching ball backwards in high arch. This is a leg exersise, not a back or arm exercise
;Chest Pass Lying Down;;60;Legs straight. Throw med ball straight up, catch lightly, repeat. 
;Hay Bales;;90;Very low bounce on ground on outside of foot, extend hands/arms holding med ball fully over opposite shoulder. Alternate sides
;Seated - Around the World;;45;45 seconds each direction. Seated, legs straight, arms straight holding med-ball. Circle ball over head, out over toes and back up
;Seated - Around the World;;45;45 seconds each direction. Seated, legs straight, arms straight holding med-ball. Circle ball over head, out over toes and back up
;Repeat;;;
;Long Snaps;;90;Standing, arms straight holding med ball, swing med ball over head, then down, sweeping ground, then swing ball back up to over head. Nice, smooth pace up and down, don't wrench back 
;Med Ball Sit Ups;;120;Arms straight with med ball above head, perform sit up
;Standing - Around the World;;45;45 seconds each direction, arms straight holding med ball, make large circles - overhead, down to ground, circle back up 
;Standing - Around the World;;45;45 seconds each direction, arms straight holding med ball, make large circles - overhead, down to ground, circle back up 
;Russian Twist;;120;Seated in V-position, legs off ground, bent at knees. Holding med ball. Rotate torso fully side to side
;Med Ball Pushups;;60;Perform push-up with both hands on ball. Don't drop pelvis, maintain flat back. Easier exercise - perform pushup with one hand on ball, other hand on ground, upon pushing up roll ball on floor so that other hand can be placed on ball 
;Straight Arm Toe-Touches;;90;On back, legs straight, perpendicular to ground. Arms straight holding med ball. Reach med ball to toes - shoulders and upper back should rise off the ground
;Reverse Med Ball Throw (Standing);;90;Against wall or to partner - squat down, explode up launching ball backwards in high arch. This is a leg exersise, not a back or arm exercise
;Chest Pass Lying Down;;60;Legs straight. Throw med ball straight up, catch lightly, repeat. 
;Hay Bales;;90;Very low bounce on ground on outside of foot, extend hands/arms holding med ball fully over opposite shoulder. Alternate sides
;Seated - Around the World;;45;45 seconds each direction. Seated, legs straight, arms straight holding med-ball. Circle ball over head, out over toes and back up
;Seated - Around the World;;45;45 seconds each direction. Seated, legs straight, arms straight holding med-ball. Circle ball over head, out over toes and back up
;Complete;;;
;;;;
;Functional Strength;;;Green
Transverse Abdominals;Transverse Abdominal Activation March ;;120;On back, legs up and bent at knee to 90 degrees. Brace your abs as if you were about to be punched in the stomach. Drive heel of one leg down to hovering just above the ground straightening the leg, bring leg back to 90 degrees, alternate 
Transverse Abdominals;Transverse Abdominal Activation - Up-up-down-down ;;60;On back, legs straight hovering just above the ground, brace abs, bring left knee up to 90 degrees, followed by right knee, lower left leg, then right leg
Transverse Abdominals;Transverse Abdominal Activation - Up-up-down together ;;60;On back, legs straight hovering just above ground, brace abs, bring left knee up to 90 degrees, followed by right, lower and straighten both legs at same time 
Hip and Deep Core Activation;Hip Hikes [R];;60;Stand sideways on a step in single leg support, outside leg is free leg and hangs straight. Slightly drop hip of free leg , then raise 
Hip and Deep Core Activation;Hip Hikes [L];;60;Stand sideways on a step in single leg support, outside leg is free leg and hangs straight. Slightly drop hip of free leg , then raise 
Hip and Deep Core Activation;Knee Hold Glute Lift [R];;60;Lying on back. Hold one knee close to chest, other leg bent with foot on ground, press grounded foot into ground to raise hips and firing glute 
Hip and Deep Core Activation;Knee Hold Glute Lift [L];;60;Lying on back. Hold one knee close to chest, other leg bent with foot on ground, press grounded foot into ground to raise hips and firing glute 
Hip and Deep Core Activation;Contra Kicks (w/ mini band) [R];;60;Band around ankles, stand on one foot. Keeping leg straight, move free leg 1) forward, back to center, 2) move laterally, back to center, 3) move backward, back to center. Repeat forward, side, back pattern for time duration. 
Hip and Deep Core Activation;Contra Kicks (w/ mini band) [L];;60;Band around ankles, stand on one foot. Keeping leg straight, move free leg 1) forward, back to center, 2) move laterally, back to center, 3) move backward, back to center. Repeat forward, side, back pattern for time duration. 
Hip and Deep Core Activation;Marching Bridges;;60;In bridged position (on back, knees bent, feet planted on ground, raising hips off ground), alternate lifting one foot off the ground than the other while keeping pelvis stable. 
Hip and Deep Core Activation;Side Plank drop w/ knee to elbow finish [R];15;;Side plank position, drop hip to kiss ground, lift hip off ground while bringing free elbow and knee of free leg to meet above hip 
Hip and Deep Core Activation;Side Plank drop w/ knee to elbow finish [L];15;;Side plank position, drop hip to kiss ground, lift hip off ground while bringing free elbow and knee of free leg to meet above hip 
Hip and Deep Core Activation;Bird Dogs [R];;10;On hands and knees, extend one leg straight back and opposite arm straight forward. Hold for 10 sec. Switch sides. Perform 2 sets. 
Hip and Deep Core Activation;Bird Dogs [L];;10;On hands and knees, extend one leg straight back and opposite arm straight forward. Hold for 10 sec. Switch sides. Perform 2 sets. 
Hip and Deep Core Activation;Bird Dogs [R];;10;On hands and knees, extend one leg straight back and opposite arm straight forward. Hold for 10 sec. Switch sides. Perform 2 sets. 
Hip and Deep Core Activation;Bird Dogs [L];;10;On hands and knees, extend one leg straight back and opposite arm straight forward. Hold for 10 sec. Switch sides. Perform 2 sets. 
Hip and Deep Core Activation;One Leg Clock Squat [R];12;;On one leg, squat down and reach out to 12:00, 10:00, 2:00 raising back to center each time. Perform single leg squat and reach with opposite hand to ground as if you were grabing for an object. Knee tracks over 2nd toe, motion occurs from hip not back 
Hip and Deep Core Activation;One Leg Clock Squat [L];12;;On one leg, squat down and reach out to 12:00, 10:00, 2:00 raising back to center each time. Perform single leg squat and reach with opposite hand to ground as if you were grabing for an object. Knee tracks over 2nd toe, motion occurs from hip not back 
Hip and Deep Core Activation;Pushup to Side Plank;10;;Pushup, during upward movement, rotate to side plank position (one arm support). Return to pushup position and repeat motion rotating to other side 
Hip and Deep Core Activation;Twisting Split Lunge [R];12;;Split lunge position, front leg tibia vertical . 70% weight on back leg, drive hips down, twist torso in, twist out, back to center, stand up and switch legs. Perform with dowel/bar behind shoulders or hands at ears, elbows out to side 
Hip and Deep Core Activation;Twisting Split Lunge [L];12;;Split lunge position, front leg tibia vertical . 70% weight on back leg, drive hips down, twist torso in, twist out, back to center, stand up and switch legs. Perform with dowel/bar behind shoulders or hands at ears, elbows out to side 
Hip and Deep Core Activation;Figure 4 Hip Extension [R];25;;Cross one leg in front and underneath hips, on forearms, other leg straight back, toe on ground, contract glute to lift knee off ground, raise and lower knee contracting lute each time to raise knee from ground
Hip and Deep Core Activation;Figure 4 Hip Extension [L];25;;Cross one leg in front and underneath hips, on forearms, other leg straight back, toe on ground, contract glute to lift knee off ground, raise and lower knee contracting lute each time to raise knee from ground
Hip and Deep Core Activation;Clap Pushups;5;;Pushup position, perform pushup. Push forcefully off ground to clap hands together 
Hip and Deep Core Activation;Supermans (slow-fast-slow-fast 5 each);20;;Laying face down on ground, bow up. Raise and lower straight arms and straight legs -- perform 5 reps slowly, holding for 3 sec at top, then 5 reps fast, 5 reps slow, followed by 5 reps fast
;Complete;;;
;;;;
;Pelvic Girdle Routine;;;
Lying on Side [R];Leg Raise Straight;15;;
Lying on Side [R];Leg Raise Foot Out;15;;
Lying on Side [R];Leg Raise Foot In;15;;
Lying on Side [R];Leg Circles (each direction);15;;
Lying on Side [R];Leg Raises - Leg Bent In Back ;15;;
Lying on Side [R];Leg Raises - Leg Bent In Front;15;;
Lying on Side [L];Leg Raise Straight;15;;
Lying on Side [L];Leg Raise Foot Out;15;;
Lying on Side [L];Leg Raise Foot In;15;;
Lying on Side [L];Leg Circles (each direction);15;;
Lying on Side [L];Leg Raises - Leg Bent In Back ;15;;
Lying on Side [L];Leg Raises - Leg Bent In Front;15;;
Kneeling on Hands and Knees;Fire Hydrants (each side);10;;
Kneeling on Hands and Knees;Knee Circles Forward (each side);10;;
Kneeling on Hands and Knees;Knee Circles Backward (each side);10;;
Kneeling on Hands and Knees;Donkey Whips (each side);10;;
Kneeling on Hands and Knees;Donkey Kicks (each side);10;;
Kneeling on Hands and Knees;Glute Pulses (each side) - on elbows;20;;
Standing (hands on wall or fence) ;Leg Swings Front to Back (each leg);10;;
Standing (hands on wall or fence) ;Leg Swings Side to Side (each leg);10;;
Standing (hands on wall or fence) ;Hurdle Trail Leg Forward (each side);10;;
Standing (hands on wall or fence) ;Hurdle Trail Leg Backward (each side);10;;
Standing (hands on wall or fence) ;Leg Swing Front to Back Bent Leg (each side);10;;
Lunge Matrix;Forward Lunges (total);10;;
Lunge Matrix;Forward Lunges with Twist (total);10;;
Lunge Matrix;Lateral Lunges (total);10;;
Lunge Matrix;Diagonal Back Lunges (total);10;;
Lunge Matrix;Backward Lunges (total);10;;
Lunge Matrix;Crossover Back Lunges (total);10;;
;Complete;;;
;;;;
;Proprioception Routine;;;
Barefoot Duck Walks (20m sand/grass);Tip-toes ;0;;
Barefoot Duck Walks (20m sand/grass);Heels;0;;
Barefoot Duck Walks (20m sand/grass);Outside of feet;0;;
Barefoot Duck Walks (20m sand/grass);Inside of feet;0;;
Barefoot Duck Walks (20m sand/grass);Tip-Toes - Toes in ;0;;
Barefoot Duck Walks (20m sand/grass);Tip - Toes - Toes out ;0;;
;Repeat;;;
Barefoot Duck Walks (20m sand/grass);Tip-toes ;0;;
Barefoot Duck Walks (20m sand/grass);Heels;0;;
Barefoot Duck Walks (20m sand/grass);Outside of feet;0;;
Barefoot Duck Walks (20m sand/grass);Inside of feet;0;;
Barefoot Duck Walks (20m sand/grass);Tip-Toes - Toes in ;0;;
Barefoot Duck Walks (20m sand/grass);Tip - Toes - Toes out ;0;;
Standing Single Leg Balances;Eyes Open [R];;60;
Standing Single Leg Balances;Eyes Open [L];;60;
Standing Single Leg Balances;Eyes Closed [R];;60;
Standing Single Leg Balances;Eyes Closed [L];;60;
Standing Single Leg Balances;Running Arms ;;30;
Standing Single Leg Balances;Running Arms ;;30;
Standing Single Leg Balances;Semi-Circle Toe Taps;;60;
Standing Single Leg Balances;Semi-Circle Toe Taps;;60;
Standing Single Leg Balances;Alphabet Draws (hip-centric);26;;
Standing Single Leg Balances;Alphabet Draws (ankle-centric);26;;
Standing Single Leg Balances;Tibialis Foot Flips ;;30;
Standing Single Leg Balances;Tibialis Foot Flips ;;30;
Standing Single Leg Balances;Standing Trunk Rotations (w/ or w/o med ball);;60;
Standing Single Leg Balances;Standing Trunk Rotations (w/ or w/o med ball);;60;
Standing Single Leg Balances;Toe Touches (reach down to opposite foot);10;;
Standing Single Leg Balances;Pop Downs - single leg squat reaching elbow down to opposite knee;10;;
Standing Single Leg Balances;Single Leg Holds in 1/4 squat - 5 sec. front hold, 5 sec. side hold, 5 sec. back hold;;90;
Standing Single Leg Balances;Single Leg Holds in 1/4 squat - 5 sec. front hold, 5 sec. side hold, 5 sec. back hold;;90;
Calf Raises ;Toes forward;25;;
Calf Raises ;Toes pointed In ;25;;
Calf Raises ;Toes pointed out;25;;
;Complete;;;
;;;;
;Activation Series;;;
